Код диагноза,Название диагноза,Код родителя
B15.0,Гепатит A с печеночной комой,B15
B15.9,Гепатит A без печеночной комы,B15
B16,Острый гепатит B,B15-B19
B16.0,Острый гепатит B с дельта-агентом (коинфекция) и печеночной комой,B16
B16.1,Острый гепатит B с дельта-агентом (коинфекция) без печеночной комы,B16
B16.2,Острый гепатит B без дельта-агента с печеночной комой,B16
B16.9,Острый гепатит B без дельта-агента и без печеночной комы,B16
B17,Другие острые вирусные гепатиты,B15-B19
B17.0,Острая дельта(супер)-инфекция вирусоносителя гепатита B,B17
B17.1,Острый гепатит C,B17
B17.2,Острый гепатит E,B17
B17.8,Другие уточненные острые вирусные гепатиты,B17
B18,Хронический вирусный гепатит,B15-B19
B18.0,Хронический вирусный гепатит B с дельта-агентом,B18
B18.1,Хронический вирусный гепатит B без дельта-агента,B18
B18.2,Хронический вирусный гепатит C,B18
B18.8,Другой хронический вирусный гепатит,B18
B18.9,Хронический вирусный гепатит неуточненный,B18
B19,Вирусный гепатит неуточненный,B15-B19
B19.0,Неуточненный вирусный гепатит с комой,B19
B19.9,Неуточненный вирусный гепатит без печеночной комы,B19
B20-B24,"БОЛЕЗНЬ, ВЫЗВАННАЯ ВИРУСОМ ИММУНОДЕФИЦИТА ЧЕЛОВЕКА [ВИЧ] (B20-B24)",A00-B99
B20,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], проявляющаяся в виде инфекционных и паразитарных болезней",B20-B24
B20.0,"Болезнь, вызванная ВИЧ, с проявлениями микобактериальной инфекции",B20
B20.1,"Болезнь, вызванная ВИЧ, с проявлениями других бактериальных инфекций",B20
B20.2,"Болезнь, вызванная ВИЧ, с проявлениями цитомегаловирусного заболевания",B20
B20.3,"Болезнь, вызванная ВИЧ, с проявлениями других вирусных инфекций",B20
B20.4,"Болезнь, вызванная ВИЧ, с проявлениями кандидоза",B20
B20.5,"Болезнь, вызванная ВИЧ, с проявлениями других микозов",B20
B20.6,"Болезнь, вызванная ВИЧ, с проявлениями пневмонии, вызванной Pneumocystis carinii",B20
B20.7,"Болезнь, вызванная ВИЧ, с проявлениями множественных инфекций",B20
B20.8,"Болезнь, вызванная ВИЧ, с проявлениями других инфекционных и паразитарных болезней",B20
B20.9,"Болезнь, вызванная ВИЧ, с проявлениями неуточненных инфекционных и паразитарных болезней",B20
B21,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], проявляющаяся в виде злокачественных новообразований",B20-B24
